Title,Period,Date,Culture,Medium,Dimensions,Classification,Credit Line,Accession Number
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 7/8 in. (1.8 x 2.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1986
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 13/16 in. (1.8 x 2.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1987
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/16 x 15/16 in. (1 x 2.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1988
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 11/16 in. (2.2 x 1.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1989
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 3/4 in. (1.9 x 2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1990
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 7/8 in. (1.8 x 2.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1991
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 1 5/16 in. (2.3 x 3.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1992
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 9/16 x 15/16 in. (1.4 x 2.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1993
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 15/16 x 1 1/16 in. (2.4 x 2.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1994
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 15/16 in. (2.2 x 2.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1995
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 13/16 in. (1.7 x 2.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1996
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 1 1/4 in. (2 x 3.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1997
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 1 1/4 in. (2 x 3.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1998
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 1 5/16 in. (1.8 x 3.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1999
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 x 1 3/16 in. (2.6 x 3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2000
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 13/16 in. (2.1 x 2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2001
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Overall: 5/8 x 1 in. (1.5 x 2.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2002
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 1 3/16 in. (1.7 x 3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2003
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1/2 x 1 1/8 in. (1.3 x 2.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2004
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1/2 x 1 5/16 in. (1.2 x 3.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2005
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 9/16 x 1 1/16 in. (1.4 x 2.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2006
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 13/16 in. (1.6 x 2.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2007
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 5/8 in. (2.3 x 1.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2008
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 15/16 in. (1.6 x 2.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2009
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/2 x 2 1/4 in. (3.8 x 5.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2010
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/4 x 1 9/16 in. (3.1 x 3.9 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2011
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 7/16 x 5/8 in. (3.6 x 1.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2012
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 5/8 in. (1.8 x 1.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2013
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 5/8 in. (1.6 x 1.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2014
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 9/16 x 7/8 in. (1.5 x 2.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2016
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 1 7/16 in. (1.7 x 3.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2017
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 3/8 x 7/8 in. (3.4 x 2.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2018
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/16 x 7/8 in. (2.6 x 2.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2019
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 11/16 in. (2.1 x 1.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2020
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 5/8 in. (2 x 1.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2021
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/8 x 1/2 in. (2.9 x 1.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2022
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 5/8 in. (2.2 x 1.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2023
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 5/8 in. (1.9 x 1.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2024
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 5/8 in. (2.2 x 1.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2025
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 11/16 in. (1.7 x 1.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2026
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 x 9/16 in. (2.5 x 1.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2027
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/16 x 1 in. (2.6 x 2.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2028
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 5/8 in. (2 x 1.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2029
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Overall: 5/8 x 11/16 in. (1.6 x 1.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2030
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 3/4 in. (1.8 x 1.9 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2031
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 1/2 in. (2.2 x 1.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2032
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 3/4 in. (2 x 1.9 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2033
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 x 7/16 in. (2.5 x 1.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2034
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/2 x 13/16 in. (3.9 x 2.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2035
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 x 3/4 in. (2.5 x 1.9 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2036
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 1 3/16 in. (2 x 3.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2037
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 5/8 in. (1.8 x 1.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2038
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 5/16 x 1 1/8 in. (3.3 x 2.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2039
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass; cast,Other: 13/16 x 9/16 in. (2.1 x 1.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2040
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass; cast,Other: 1 1/16 x 7/16 in. (2.7 x 1.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2041
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass; cast,Other: 5/8 x 3/4 in. (1.7 x 1.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2042
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass; cast,Other: 5/8 x 9/16 in. (1.5 x 1.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2043
Glass mosaic fragment,Augustan,Late 1st century B.C.–early 1st century A.D.,Roman,Glass; cast,NULL-DIMENSIONS,Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2044
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass; cast,Other: 1 9/16 x 9/16 in. (4 x 1.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2045
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass; cast,Other: 1 3/16 x 7/8 in. (3.1 x 2.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2046
Glass mosaic fragment,NULL-PERIOD,NULL-DATE,Roman,Glass; cast,Other: 11/16 x 9/16 in. (1.8 x 1.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2047
Glass mosaic fragment,NULL-PERIOD,2nd century B.C.–mid-1st century A.D.,Roman,Glass; cast,Other: 5/8 x 1/2 in. (1.6 x 1.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2048
Glass mosaic base ring fragment,NULL-PERIOD,Late 1st century B.C.–early 1st century A.D.,Roman,Glass; cast,H.: 1 1/16 x 2 7/8 in. (2.8 x 7.4 cm)( in 2 pieces),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2049
Millefiori bowl fragmentary,Late Hellenistic,1st century B.C.,Greek,Glass; cast,F: 1 3/16 × 2 5/16 in. (3 × 5.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2050a–f
Lid,NULL-PERIOD,1st century B.C.–5th century A.D.,Roman,Glass,Diam.: 5 1/2 in. (14 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2052
Gold-band mosaic glass scyphus (drinking cup),Early Imperial,late 1st century B.C.–early 1st century A.D.,Roman,Glass; cast and cut,H.: 4 1/2 in. (11.5 cm) W: 9 13/16 (25 cm) Diam.: 7 1/16 in. (18 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2053
Bead,NULL-PERIOD,NULL-DATE,Roman,Glass,Diam.: 3/4 x 11/16 in. (2 x 1.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.2054
Terracotta stamnos,Late Classical,ca. 375 B.C.,Faliscan,Terracotta; red-figure,H. 9 5/8 in. (24.5 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.441
Terracotta kantharos (drinking cup),Hellenistic,3rd century B.C.,Etruscan,Terracotta; black-glaze,H. 4 1/4 in. (10.8 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.443
Terracotta skyphos (deep drinking cup),Late Classical,ca. 350–325 B.C.,Greek South Italian Campanian,Terracotta; red-figure,H. 9 3/4 in. (24.8 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.444
Calyx-krater,Classical,ca. 460 B.C.,Greek Attic,Terracotta; red-figure,Diam. of foot: 4 1/4 in. (10.8 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.445
Terracotta bell-krater (mixing bowl),Classical,ca. 350–300 B.C.,Greek South Italian Apulian Gnathian,Terracotta; applied color,H. 10 7/8 in. (27.6 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.446
Lekythos,Archaic,6th century B.C.,Greek Attic,Terracotta; black-figure,H. 10 3/8 in. (26.4 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.447
Oinochoe,NULL-PERIOD,7th–6th century B.C.,Etruscan,Terracotta,10 5/8 × 6 1/8 × 8 × 8 1/2 in. (27 × 15.6 × 20.3 × 21.6 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.448
Jug,Archaic,1st half of 6th century B.C.,Italic-Native South Italian (Daunian),Terracotta,H. with handle 6 3/16 in. (15.7 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.449
Oinochoe,NULL-PERIOD,4th century B.C.,Etruscan,Terracotta,9 5/8in. (24.5cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.450
Oinochoe,NULL-PERIOD,7th–6th century B.C.,Etruscan,Terracotta,NULL-DIMENSIONS,Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.451
Jug,Archaic or Classical,6th–4th century B.C.,Etruscan,Terracotta,Diam. of foot: 4 1/4 in. (10.8 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.452
Jug,Archaic or Classical,6th–4th century B.C.,Etruscan,Terracotta,Diam. of foot: 3 1/4 in. (8.3 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.453
Terracotta beak-spouted jug,Geometric,ca. 750–690 B.C.,Late Villanovan,Terracotta; impasto,H.: 12 1/2 in. (31.8 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.454
Terracotta neck-amphora (jar),Late Classical,ca. 350–325 B.C.,Greek South Italian Campanian,Terracotta; red-figure,H. 13 13/16 in. (35.1 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.455
Terracotta oinochoe (jug),Hellenistic,early 3rd century B.C.,Greek South Italian Apulian Gnathian,Terracotta; applied color,H. 14 1/2 in. (36.8 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.456
Terracotta skyphos (deep drinking cup),Late Archaic,ca. 500 B.C.,Greek Attic,Terracotta; black-figure,Other: 4 1/8 x 6 7/8 in. (10.5 x 17.5 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.457
Oinochoe,NULL-PERIOD,7th–6th century B.C.,Etruscan,Terracotta,NULL-DIMENSIONS,Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.458
Terracotta calyx-krater (bowl for mixing wine and water),Classical,4th century B.C.,Greek Attic,Terracotta; black-glaze,H.: 17 3/16 in. (43.7 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.459
Neck-amphora with lid,Archaic or Classical,6th–5th century B.C.,Italic South Italian,Terracotta,Height (Total height): 16 in. (40.6 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.460a b
Neck-amphora with lid,Archaic or Classical,6th–5th century B.C.,Italic South Italian,Terracotta,NULL-DIMENSIONS,Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.461a b
Terracotta column-krater (bowl for mixing wine and water),Late Archaic,ca. 500 B.C.,Greek Attic,Terracotta; red-figure white-ground,H.: 13 7/16 in. (34.1 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.462
Terracotta neck-amphora (jar),Archaic,ca. 510 B.C.,Greek Attic,Terracotta; black-figure,H. 15 1/8 in. (38.4 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.463
Terracotta calyx-krater (mixing bowl),Late Classical,ca. 350–300 B.C.,Greek South Italian Apulian Gnathian,Terracotta; applied color,H. 14 1/2 in. (36.8 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.464
Terracotta oinochoe (jug),Hellenistic,ca. 300 B.C.,Etruscan,Terracotta; red-figure,H. 11 13/16 in. (30 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.465
Terracotta hydria (water jar),Classical,ca. 420–400 B.C.,Greek South Italian Lucanian,Terracotta; red-figure,H. 18 1/16 in. (45.9 cm),Vases,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.466
 Fragment of ceiling of the Treasury of Minyas,NULL-PERIOD,NULL-DATE,NULL-CULTURE,NULL-MEDIUM,NULL-DIMENSIONS,NULL-CLASSIFICATIONS,NULL-CREDIT,91.25.4
Intaglio,Post-Classical,17th century,NULL-CULTURE,Carnelian,Other: 1 3/16 x 15/16 x 3/16 in. (3 x 2.4 x 0.4 cm),Gems,Gift of L. P. di Cesnola 1891,91.38
Marble bust of Herodotos,Imperial,2nd century A.D.,Roman,Marble Island ?,H. 18 3/4 in. (47.6 cm),Stone Sculpture,Gift of George F. Baker 1891,91.8
Stucco relief panel,Early Imperial Neronian,mid-1st century A.D.,Roman,Stucco,H. 14 in (35.6 cm); width 13 3/8 in (34 cm); depth 2 3/4 in (7 cm),Miscellaneous-Stucco,Gift of Henry G. Marquand 1892,92.11.1
Wall painting fragment,NULL-PERIOD,2nd–3rd century A.D.,Roman,Fresco,12 1/2 x 11 3/8in. (31.8 x 28.9cm),Miscellaneous-Paintings,Gift of Henry G. Marquand 1892,92.11.10
Stucco relief panel,Early Imperial,2nd half of 1st century A.D.,Roman,Stucco,Overall: 16 7/8 x 13 5/8 x 2 1/4 in. (42.9 x 34.6 x 5.7 cm),Miscellaneous-Stucco,Gift of Henry G. Marquand 1892,92.11.2
Stucco relief panel,Early Imperial,2nd half of 1st century A.D.,Roman,Stucco,Other: 15 3/4 x 13 x 3 in. (40 x 33 x 7.6 cm),Miscellaneous-Stucco,Gift of Henry G. Marquand 1892,92.11.3
Stucco relief panel,Early Imperial,2nd half of 1st century A.D.,Roman,Stucco,Overall: 17 1/4 x 13 3/8 in. (43.8 x 34 cm),Miscellaneous-Stucco,Gift of Henry G. Marquand 1892,92.11.4
Stucco relief panel,Early Imperial,2nd half of 1st century A.D.,Roman,Stucco,H.: 13 1/2 x 11 3/4 in. (34.3 x 29.8 cm),Miscellaneous-Stucco,Gift of Henry G. Marquand 1892,92.11.5
Stucco relief panel,Early Imperial,2nd half of 1st century A.D.,Roman,Stucco,Overall: 21 1/2 x 2 1/2 in. (54.6 x 6.4 cm),Miscellaneous-Stucco,Gift of Henry G. Marquand 1892,92.11.6
Stucco relief panel,Early Imperial,2nd half of 1st century A.D.,Roman,Stucco,Overall: 12 x 13 7/16 in. (30.5 x 34.1 cm),Miscellaneous-Stucco,Gift of Henry G. Marquand 1892,92.11.7
Wall painting fragment with Gorgon mask,Early Imperial Julio-Claudian,ca. A.D. 14–68,Roman,Fresco,L. 8 in (20.3 cm),Miscellaneous-Paintings,Gift of Henry G. Marquand 1892,92.11.8
Stucco relief panel,Early Imperial,2nd half of 1st century A.D.,Roman,Stucco,Overall: 9 1/2 x 14 3/8 x 2 1/4 in. (24.1 x 36.5 x 5.7 cm),Miscellaneous-Stucco,Gift of Henry G. Marquand 1892,92.11.9
Intaglio,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Rock Crystal,Other: 2 7/16 x 1 13/16 x 5/8 in. (6.3 x 4.6 x 1.6 cm),Gems,Gift of Samuel P. Avery 1894,94.17.1
Intaglio,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Sard,Other: 2 3/16 x 1 3/4 x 1/4 in. (5.5 x 4.5 x 0.6 cm),Gems,Gift of Samuel P. Avery 1894,94.17.2
Intaglio,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Carnelian,Other: 1 15/16 x 2 1/4 x 3/16 in. (4.9 x 5.7 x 0.6 cm),Gems,Gift of Samuel P. Avery 1894,94.17.3
Mosaic floor fragment,NULL-PERIOD,NULL-DATE,Roman,Tile mortar,Other: 13 5/8 × 11 1/8 in. (34.6 × 28.3 cm),Miscellaneous-Mosaic,Gift of Henry G. Marquand 1894,94.4.385
Mosaic floor fragment,NULL-PERIOD,NULL-DATE,Roman,Tile mortar,Other: 10 1/4 × 8 7/8 in. (26 × 22.5 cm),Miscellaneous-Mosaic,Gift of Henry G. Marquand 1894,94.4.386
Mosaic floor fragment,NULL-PERIOD,NULL-DATE,Roman,Tile mortar,8 1/2 × 4 7/8 × 3 1/2 in. (21.6 × 12.4 × 8.9 cm),Miscellaneous-Mosaic,Gift of Henry G. Marquand 1894,94.4.387
Mosaic floor bedding,NULL-PERIOD,NULL-DATE,Roman,Tile mortar,5 1/2 × 2 1/2 in. (14 × 6.4 cm),Miscellaneous-Mosaic,Gift of Henry G. Marquand 1894,94.4.388
Wall painting fragment,NULL-PERIOD,1st century A.D.,Roman,Fresco,Overall: 8 3/8 x 6 in. (21.3 x 15.3 cm),Miscellaneous-Paintings,Gift of Henry G. Marquand 1894,94.4.389
Wall painting fragment,NULL-PERIOD,1st century A.D.,Roman,Fresco,Overall: 4 7/8 x 3 in. (12.4 x 7.6 cm),Miscellaneous-Paintings,Gift of Henry G. Marquand 1894,94.4.390
Wall painting fragment,NULL-PERIOD,1st century A.D.,Roman,Fresco,Overall: 8 1/16 x 4 in. (20.4 x 10.2 cm),Miscellaneous-Paintings,Gift of Henry G. Marquand 1894,94.4.391
Wall painting fragment with winged figure,Early Imperial Julio-Claudian,ca. A.D. 14–68,Roman,Fresco,Overall: 7 1/16 x 10 1/2 in. (17.9 x 26.7 cm),Miscellaneous-Paintings,Gift of Henry G. Marquand 1894,94.4.392
Wall painting fragment with a swan,Early Imperial Julio-Claudian,ca. A.D. 14–68,Roman,Fresco,Overall: 6 1/4 x 5 1/16 in. (15.8 x 12.8 cm),Miscellaneous-Paintings,Gift of Henry G. Marquand 1894,94.4.393
Jasper intaglio: Cock-headed anguipede,Imperial,ca. 2nd–3rd century A.D.,Roman,Jasper red gold,Other: 1 3/8 x 7/8 x 1/8 in. (3.5 x 2.2 x 0.3 cm),Gems,Purchase by subscription 1895,95.15.1
Gold swivel ring with carnelian scarab,Classical,4th century B.C.,Etruscan,Carnelian gold,Other: 5/16 x 7/16 in. (0.8 x 1.2 cm),Gems,Purchase by subscription 1895,95.15.106
Ring with scarab,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Carnelian gold,Other: 13/16 x 7/8 x 7/16 in. (2.1 x 2.3 x 1.1 cm),Gems,Purchase by subscription 1895,95.15.107
Carnelian scarab,Classical,4th century B.C.,Etruscan,Carnelian,Other: 3/8 x 5/16 x 3/16 in. (1 x 0.7 x 0.5 cm),Gems,Purchase by subscription 1895,95.15.109
Ring with scarab,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Carnelian gold,Other: 1 1/16 x 1/2 in. (2.7 x 1.3 cm),Gems,Purchase by subscription 1895,95.15.110
Banded agate intaglio set in a large gold ring,NULL-PERIOD,3rd century B.C.,Etruscan,Agate banded gold,Other: 1 3/16 x 15/16 in. (3 x 2.4 cm),Gems,Purchase by subscription 1895,95.15.111
Lock-plate and chain,NULL-PERIOD,NULL-DATE,Roman,Silver,Other: 1 1/8 × 7/8 × 11/16 in. (2.9 × 2.2 × 1.7 cm),Gold and Silver,Purchase by subscription 1895,95.15.112
Gold crossbow fibula (brooch),Late Imperial Tetrarchic,ca. A.D. 286–306/7 or 308/9,Roman,Gold,2 1/8in. (5.4cm),Gold and Silver,Purchase by subscription 1895,95.15.113
Ring,NULL-PERIOD,4th–3rd century B.C.,Roman,gold,Other: 9/16 x 3/16 in. (1.4 x 0.4 cm),Gems,Purchase by subscription 1895,95.15.114
Ring,NULL-PERIOD,4th–3rd century B.C.,Roman,gold,Other: 11/16 x 5/16 in. (1.7 x 0.7 cm),Gems,Purchase by subscription 1895,95.15.115
Ring,NULL-PERIOD,4th–3rd century B.C.,Roman,gold,Other: 9/16 x 5/16 x 9/16 in. (1.4 x 0.8 x 1.5 cm),Gems,Purchase by subscription 1895,95.15.116
Ring,NULL-PERIOD,NULL-DATE,Roman,Gold,Diameter: 13/16 × 1/8 in. (2 × 0.3 cm),Gold and Silver,Purchase by subscription 1895,95.15.117tempObjectNumber: 1
